menu_name,menu_link,menu_image,submenu_link,store_name
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1013071,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000042,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000045,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000039,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000033,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000031,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000038,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000035,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000043,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000036,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000044,Safeway
Sales,https://www.instacart.com/store/safeway/departments/1000001,/Safeway/0caf312dfe64456c99852a959e59ecb4.jpeg,https://www.instacart.com/store/safeway/departments/1000001/aisles/1000032,Safeway
